type,measure,ICC,F,df1,df2,p,lower bound,upper bound,10%,90%
ICC2,67_37,0.19710972607597757,1.5508491856131903,87,87,0.107796786681715,-0.3292147685306427,0.6325826221116456,0.3580255199080551,0.0336202437413628
ICC3,67_37,0.1979057687956646,1.5508491856131903,87,87,0.107796786681715,-0.3322842101228894,0.6340286474014549,0.35755278418846503,0.0336202437413628
ICC2,67_39,0.2991741396666854,1.9218434716734272,87,87,0.02230671777810082,-0.22880524340622177,0.6940304518369727,0.4564244578586671,0.1963268306192355
ICC3,67_39,0.30173209966970327,1.9218434716734272,87,87,0.02230671777810082,-0.2320285173709943,0.6966109363894719,0.45550073977153016,0.19479670799666127
ICC2,67_4,0.259769805320654,1.7608571750429705,87,87,0.03860007929057901,-0.26755454865020933,0.6708055809663461,0.4098744814216069,0.14732895194463985
ICC3,67_4,0.2620856041387098,1.7608571750429705,87,87,0.03860007929057901,-0.27248847350076383,0.6737617595566464,0.4073119670035727,0.14542030328472702
ICC2,67_40,0.2555397139457825,1.733683027444604,87,87,0.0363048168661574,-0.27543049434782974,0.6693476514423738,0.3956796081505405,0.15604892037531576
ICC3,67_40,0.2568380530874633,1.733683027444604,87,87,0.0363048168661574,-0.27850558702778855,0.671047823152713,0.3951646193130022,0.15438034696307712
ICC2,67_41,0.3871094996053838,2.3745958310956405,87,87,0.00345568975036386,-0.13305542503385692,0.7427183746759605,0.5316429328947517,0.28538720976380844
ICC3,67_41,0.39264468295129434,2.3745958310956405,87,87,0.00345568975036386,-0.13176187720124716,0.7462577612414724,0.5287904845358343,0.2837459109136572
ICC2,67_42,0.27633114696104766,1.8312178860782165,87,87,0.03194473735092615,-0.2525462280247157,0.6807932404404757,0.4223191550295978,0.15309600449572916
ICC3,67_42,0.2779614496177586,1.8312178860782165,87,87,0.03194473735092615,-0.25579575476030403,0.682756351993488,0.4216333901284963,0.15045776820092388
ICC2,67_43,0.39749079564318585,2.405456267287323,87,87,0.00149079609451767,-0.12225092725654613,0.7484953445377512,0.5169005008389643,0.30777775403315916
ICC3,67_43,0.4011812349744963,2.405456267287323,87,87,0.00149079609451767,-0.12327188055058189,0.7512022096954273,0.5139004962799727,0.30234445778864427
ICC2,67_44,0.18738237629028148,1.5065310979434698,87,87,0.10503887122111762,-0.3393808399657481,0.6271910792591955,0.33607806428776565,0.05378654225078916
ICC3,67_44,0.1881398718429491,1.5065310979434698,87,87,0.10503887122111762,-0.3428437576103685,0.6287256866549223,0.3355329415164662,0.05212195242989675
ICC2,67_45,0.24384646519261977,1.7178921728410057,87,87,0.06182605277369246,-0.28187031745129404,0.6605327391327277,0.4104842519508934,0.10438285677271536
ICC3,67_45,0.24571623878071017,1.7178921728410057,87,87,0.06182605277369246,-0.2866470897577892,0.6631572327529012,0.4096192961668339,0.10129079372657238
ICC2,67_46,0.1050771972783936,1.2588816728429717,87,87,0.22624574427310676,-0.4118259049472976,0.5740538350112495,0.20725283732106975,-0.01623846709811315
ICC3,67_46,0.10566258663275122,1.2588816728429717,87,87,0.22624574427310676,-0.41684142089696147,0.5760833669147843,0.20725283732106975,-0.01883189542758191
ICC2,67_47,0.2636586230371356,1.7719573880030726,87,87,0.03294544504779175,-0.26666542739095195,0.6738164001039466,0.40216162823556,0.14549120237051566
ICC3,67_47,0.2647340234446323,1.7719573880030726,87,87,0.03294544504779175,-0.26991228824057334,0.6754255950541697,0.40216162823556,0.14384518153338893
ICC2,67_48,0.3079845115328472,1.9746145415040928,87,87,0.02289357227182578,-0.2173547401967777,0.6982621657158447,0.4681944034466611,0.188586352226748
ICC3,67_48,0.3104087710723987,1.9746145415040928,87,87,0.02289357227182578,-0.22157312297478032,0.7010140181598413,0.4661867090317651,0.1876929639220207
ICC2,67_49,0.3451540792851143,2.1340836806169396,87,87,0.00881847069944421,-0.17973387960459777,0.719812320440011,0.485509869489012,0.24012277235781515
ICC3,67_49,0.3480428898432887,2.1340836806169396,87,87,0.00881847069944421,-0.18255571602317605,0.722477768237772,0.4849400036218642,0.23698803803307272
ICC2,67_5,0.14087145352954358,1.3689762208962315,87,87,0.16947472651598466,-0.37376676677271253,0.5954564840612496,0.28386144384377393,0.00812762732983071
ICC3,67_5,0.14294587322815008,1.3689762208962315,87,87,0.16947472651598466,-0.3836132582902455,0.5999951584550922,0.28433376854022274,0.00404333291793615
ICC2,67_50,0.21817608450370896,1.6124312163727443,87,87,0.07860991759081092,-0.3102030206513622,0.6460221832936,0.3825552259036871,0.09715311709874574
ICC3,67_50,0.21907042132136512,1.6124312163727443,87,87,0.07860991759081092,-0.313427923812235,0.6475427366767834,0.3820816926394218,0.09501669704802636
ICC2,67_51,0.377841050697497,2.3436233756952927,87,87,0.0090593930049699,-0.14197276080266422,0.7367160051126601,0.5682765449218716,0.2604684077323598
ICC3,67_51,0.37906421259032386,2.3436233756952927,87,87,0.0090593930049699,-0.14401665451633994,0.7380045226461381,0.5681575683466906,0.2581527828706571
ICC2,67_52,0.31676205848420963,1.9988884951399828,87,87,0.01506687852636902,-0.21097644108607921,0.704112536119722,0.45980243046236347,0.21408700201507613
ICC3,67_52,0.31877116257111243,1.9988884951399828,87,87,0.01506687852636902,-0.2140028743568081,0.7062361513684556,0.4569414546140551,0.2090821526663052
ICC2,67_53,0.31218783594732546,1.9583199358574104,87,87,0.00993323687059268,-0.21868503743371312,0.7024547179520741,0.4417551660434243,0.22584062451767412
ICC3,67_53,0.31356239998252017,1.9583199358574104,87,87,0.00993323687059268,-0.22123003106812617,0.7040076816890674,0.4413116599099915,0.2229990295085082
ICC2,67_54,0.39515918823825713,2.382207449294324,87,87,0.00205471210897213,-0.1265278115174468,0.7473837584109435,0.5167047177726847,0.2996583835760391
ICC3,67_54,0.3967187736621177,2.382207449294324,87,87,0.00205471210897213,-0.12827908265416316,0.7487998177267912,0.5140849325547265,0.29660926064619597
ICC2,67_55,0.43853333652250126,2.6942676585588115,87,87,0.00166418541562358,-0.07226516862253425,0.7690238378305421,0.5991671682259552,0.33833300914898484
ICC3,67_55,0.4398805362052596,2.6942676585588115,87,87,0.00166418541562358,-0.07360786195052216,0.7701961049419872,0.5991671617557309,0.33753548315580645
ICC2,67_56,0.3365949713574004,2.087111608666893,87,87,0.01148640167298234,-0.19130837725994015,0.7154150658398415,0.4925572775287216,0.23859895060469047
ICC3,67_56,0.3376666663807861,2.087111608666893,87,87,0.01148640167298234,-0.1936117974848342,0.7166840984934248,0.4925572775553247,0.23791905451138737
ICC2,67_57,0.22181632429785383,1.6296937800364395,87,87,0.05470277849368838,-0.29736115728248425,0.647014585020009,0.3452242927270922,0.1123377594912698
ICC3,67_57,0.228164639814144,1.6296937800364395,87,87,0.05470277849368838,-0.3064593528628485,0.6539525618372002,0.3460199177186237,0.10461316922071684
ICC2,67_58,0.19920515303503203,1.5426358682917318,87,87,0.09044414929209244,-0.3285359343136756,0.6346119859116487,0.3522800168395236,0.07956848447842765
ICC3,67_58,0.20000846720893417,1.5426358682917318,87,87,0.09044414929209244,-0.33208305692042644,0.636210576193779,0.35216370356668997,0.07818279952723592
ICC2,67_59,0.30639790310458953,1.9252113968993536,87,87,0.00921565727932753,-0.2250792910151368,0.6994404663137552,0.40589691569908265,0.2219828613869545
ICC3,67_59,0.30810172421183823,1.9252113968993536,87,87,0.00921565727932753,-0.22785580223862287,0.7012719654212639,0.4036025377660461,0.2186604014439341
ICC2,67_6,0.17358239547035426,1.4621264362980388,87,87,0.11917301017239582,-0.351475992364542,0.6184740683439177,0.322159949924567,0.04949016027145367
ICC3,67_6,0.17459467405211684,1.4621264362980388,87,87,0.11917301017239582,-0.35548066528050193,0.6203601392500765,0.32215994991617725,0.04680160637297842
ICC2,67_60,0.3041879854844474,1.9509746098899583,87,87,0.02160287539242014,-0.2227059228523426,0.696552240478966,0.4571729305651243,0.18506016679712883
ICC3,67_60,0.30646589713492767,1.9509746098899583,87,87,0.02160287539242014,-0.22630271349446895,0.6990221110077626,0.4549848872136041,0.1813260998603848
