type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.32652892106973036,1.9725944115784542,79,79,0.0014344903987438453,-0.1575458386536621,0.6850288462814338,38_15
ICC2,0.41834795780391293,2.4877604790412016,79,79,3.579926963828239e-5,-0.04443776342604452,0.7364703412543194,38_16
ICC2,0.23746431994627856,1.6228280883316804,79,79,0.01639703216746598,-0.25197567073914423,0.6305920848289132,38_17
ICC2,0.21566011600812524,1.5499149550078453,79,79,0.026581634947005488,-0.27344852123824664,0.6165700442717362,38_18
ICC2,0.39866100133196514,2.410490510711119,79,79,6.211408991702598e-5,-0.066423201005846,0.7257003963774283,38_19
ICC2,0.4138991944107049,2.4123822745635644,79,79,6.128015340362313e-5,-0.05877180950167646,0.7354050749388349,38_20
ICC2,0.3617157277816934,2.1334000962441984,79,79,4.534046427919265e-4,-0.11981599988579456,0.7059182213800927,38_21
ICC2,0.303645118247798,1.872098770913335,79,79,0.0029281871928385265,-0.18375659809116662,0.6716495290215007,38_22
ICC2,0.43374797016660427,2.531996168893991,79,79,2.6142199288945187e-5,-0.03459414517534979,0.7463117965995979,38_23
ICC2,0.2936374203658425,1.8326328140179453,79,79,0.0038667907980410475,-0.19359854919071076,0.6654069450286091,38_24
ICC2,0.26051602669539053,1.7045887026630078,79,79,0.009414033561381999,-0.22874615444445812,0.6451449372450804,38_25
ICC2,0.10664426215189578,1.2405874394049954,79,79,0.17000783149096754,-0.3692019385553306,0.5409607737753868,38_26
ICC2,0.34650139305300437,2.060450288247083,79,79,7.652858533737231e-4,-0.13695944409458832,0.6970920072156992,38_27
ICC2,0.362753842046856,2.1385089863736293,79,79,4.370695772943874e-4,-0.11863394662582975,0.7065162450185437,38_28
ICC2,0.12190230203323918,1.2804061447454114,79,79,0.13705976836000341,-0.3544509624147165,0.5513929262699867,38_29
ICC2,0.18865447323842544,1.4650410141689512,79,79,0.04583223688313322,-0.2993954048298221,0.5988467639031683,38_30
ICC2,0.2869299742066128,1.804773623424612,79,79,0.004700905654387612,-0.2014354146509732,0.6614870905110337,38_31
ICC2,0.31589146903142906,1.9235127325289985,79,79,0.002034360052172583,-0.17060339753193485,0.6790088292442024,38_32
ICC2,0.1581092501698952,1.3756051487720988,79,79,0.0793066568347427,-0.32791326377344876,0.5783097608126692,38_33
ICC2,0.30366739727676956,1.8721906631663705,79,79,0.002926287268802513,-0.18373282488801454,0.6716629831027429,38_34
ICC2,0.3512193909454894,2.0827061907948603,79,79,6.524046588419721e-4,-0.13167372255477483,0.6998403729591073,38_35
ICC2,0.0831435439392908,1.1813665451984023,79,79,0.23027533327083521,-0.3944124935139887,0.5255735742147368,38_36
ICC2,0.3248311122298263,1.9641003186655226,79,79,0.0015240523906515679,-0.15990950787963035,0.6841277993706045,38_37
ICC2,0.4363381249938404,2.5482280853308734,79,79,2.3299070980195434e-5,-0.03139800444594221,0.7477227786461546,39_0
