type,ICC,F,df1,df2,p,lower bound,upper bound,measure
ICC2,0.5910737794930389,3.966592318846041,53,53,7.393003674882577e-7,0.07036041616609409,0.8603835579966236,67_65
ICC2,0.36293572791570894,2.1851726294451423,53,53,0.002576382078738301,-0.21115673393083403,0.7579529230093094,67_66
ICC2,0.11403732645323253,1.2819544516356998,53,53,0.18439654254901403,-0.3991475542312363,0.6083524586934341,68_0
ICC2,0.10288211534765575,1.2396377285054667,53,53,0.21842268047823427,-0.43906080773284784,0.6092786851257916,68_1
ICC2,0.2882128760931848,1.9327175776288432,53,53,0.00898434804349395,-0.2581087301311538,0.7167189288788262,68_2
ICC2,0.17792686070115793,1.4879018602297958,53,53,0.07564933039235626,-0.33896345246896786,0.6474126341043162,68_3
ICC2,0.31886565972694403,2.0625761337836384,53,53,0.004727530567089234,-0.23684476540511454,0.7343310180016694,68_4
ICC2,0.26135768091727535,1.7373129094947366,53,53,0.02337045572453313,-0.3090158541651494,0.7044840186355169,68_5
ICC2,0.38345169652603733,2.3888020316984835,53,53,9.44265932417895e-4,-0.18358331090401445,0.7689141075178185,68_6
ICC2,0.3766883814058217,2.4088870847360133,53,53,8.557323672819901e-4,-0.19764278741298888,0.7683994104346195,68_7
ICC2,0.13534873704767827,1.336701802641331,53,53,0.14695910397528092,-0.39479508189984,0.6253489786338529,68_8
ICC2,0.33032897524452143,2.0296640014786123,53,53,0.00556416738348023,-0.2428820502299311,0.7412227779732278,68_9
ICC2,0.17992836974523657,1.474042622821795,53,53,0.08055087912579029,-0.35818766779415595,0.6530933624152765,68_10
ICC2,0.3526979284806281,2.1574771419106265,53,53,0.0029548531124703632,-0.21526583616155406,0.7521355299252521,68_11
ICC2,0.3609428365203744,2.20279590448766,53,53,0.002361301209100215,-0.2066156753348337,0.7563226198030353,68_12
ICC2,0.25883875398056155,1.7188778297462506,53,53,0.02554691363684075,-0.31816069355226534,0.7042645092433697,68_13
ICC2,0.09615088068667728,1.2214431197287994,53,53,0.2345006108936968,-0.44700266539846234,0.6056394329801246,68_14
ICC2,0.3752575885328114,2.268274129792035,53,53,0.0017086895101400194,-0.1941170049778409,0.7636860878857875,68_15
ICC2,0.303792488249967,1.9151291525339225,53,53,0.009798126459536453,-0.26661109106809455,0.7270314577580451,68_16
ICC2,0.18501230280946016,1.4577588372936603,53,53,0.08667918222762082,-0.39831178122272876,0.6654436464030468,68_17
ICC2,0.4148324415374339,2.5320685379507952,53,53,4.6922746816487174e-4,-0.15124775332041535,0.7834286860576706,68_18
ICC2,0.3693658377907588,2.17141081129127,53,53,0.0027579375242743984,-0.22363836756226355,0.7636327639960572,68_19
ICC2,0.224403363591342,1.600723290705282,53,53,0.044876689829230654,-0.344035298683086,0.6841093780340035,68_20
ICC2,0.26788535662227986,1.7729456854654013,53,53,0.019661552016172944,-0.29642304330853225,0.707002069622526,68_21
ICC2,0.3732297647340465,2.1909619944721093,53,53,0.002503638290660615,-0.21936088652388375,0.7654918926187511,68_22
ICC2,0.29033116421380345,1.8502849683558094,53,53,0.013476726910685152,-0.2834689551495214,0.7204502642077492,68_23
ICC2,0.3110231375783898,1.9199774719740148,53,53,0.00956680079924625,-0.2737408825736597,0.7329198133353296,68_24
