idx,subject,acquisition,reconstruction,run,suffix,space,desc,session,task,report_type,chunk,been_on_screen,report,rater,note,usable,dn_action,usable_rev,note_rev,reviewed,idx_fmap,chunk_fmap,from_fmap_corrected_run
18.0,23867,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,ghosting,True,,,,False,,,False
19.0,23880,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,ghosting,True,,,,False,,,False
20.0,23886,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
21.0,23890,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
22.0,23895,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
23.0,23896,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
24.0,23900,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
25.0,23901,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
26.0,23903,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
27.0,23905,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
28.0,23906,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
29.0,23907,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
30.0,23911,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
32.0,23919,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,9.0,0.0,True
33.0,23924,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,ghosting,True,,,,False,,,False
34.0,23927,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,10.0,0.0,True
35.0,23935,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
36.0,23937,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,11.0,0.0,True
37.0,23943,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
38.0,23951,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
39.0,23952,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
40.0,23957,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
42.0,23969,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
43.0,23980,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
46.0,24014,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
47.0,24028,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
48.0,24036,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
49.0,24043,,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,2.0,True,1.0,dn,,True,,,,False,,,False
0.0,24047,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
1.0,24048,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1o1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
2.0,24052,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
3.0,24054,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
4.0,24057,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
5.0,24059,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
6.0,24060,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
7.0,24064,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
8.0,24065,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
9.0,24071,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
11.0,24077,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
12.0,24078,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
13.0,24088,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
14.0,24092,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
15.0,24093,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
17.0,24103,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,ghosting,True,,,,False,,,False
18.0,24107,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,ghosting,True,,,,False,,,False
19.0,24110,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
20.0,24111,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
21.0,24112,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
22.0,24113,mprageABCD,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
23.0,24114,mprage,prenorm,1.0,T1w,MNI152NLin2009cAsym,,v1,,MNI152NLin2009cAsym,3.0,True,1.0,dn,,True,,,,False,,,False
